Name,CDSName,RA,Dec,ra1,ra2,ra3,RA_dec,RA_radians,sde,de1,de2,de3,de_dec,Dec_radians,LongGal,LatGal,B,V,B-V,B0-V0,EB-V,OType,Sp,Sp_s,Miles
HD 100600, 90 Leo,"11 34 42,49024","+16 47 48,8956",11,34,42.5,173.677042666667,3.03123622966001,+,16,47,48.9,16.7969154444444,0.293161478684641,239.179,69.4687,5.78,5.94,-0.16,-0.18,0.02,**,B4V,B4,
HD 100673,A Cen,"11 34 45,65581","-54 15 50,7320",11,34,45.7,173.690232541667,3.03146643640669,-,54,15,50.7,-54.2640922222222,-0.947087074883624,291.7927,6.9409,4.548,4.614,-0.066,-0.07,0.00,Be*,B9Ve,B9,
HD 100889,tet Crt,"11 36 40,91335","-09 48 08,0912",11,36,40.9,174.170472291667,3.03984820124314,-,09,48,08.1,-9.80224755555556,-0.17108149394001,274.2494,48.8616,4.626,4.682,-0.056,-0.07,0.01,PM*,"B9,5Vn","B9,5",
HD 101431,omi Hya,"11 40 12,78970","-34 44 40,7733",11,40,12.8,175.053290416667,3.05525628422068,-,34,44,40.8,-34.74465925,-0.606408701396004,286.7153,25.8742,4.623,4.693,-0.07,-0.07,0.00,Star,B9V,B9,
HD 10144 ,alf Eri,"01 37 42,84548","-57 14 12,3101",01,37,42.8,24.4285228333333,0.42635815484028,-,57,14,12.3,-57.2367528055556,-0.998969789607047,290.8412,-58.792,0.3,0.5,-0.2,-0.14,-0.06,Be*,B6Vep,B6,
HD 101615,HD 101615,"11 41 19,79057","-43 05 44,3987",11,41,19.8,175.332460708333,3.060128724984,-,43,05,44.4,-43.0956663055556,-0.752161270372726,289.5666,17.9492,5.572,5.531,0.041,-0.01,0.05,PM*,A0V,A0,
HD 102124,ksi Vir,"11 45 17,04027","+08 15 29,2150",11,45,17.0,176.321001125,3.07738201004388,+,08,15,29.2,8.25811527777778,0.144131301606468,260.1825,65.4799,5.006,4.845,0.161,0.12,0.04,PM*,A4V,A4,
HD 102249,lam Mus,"11 45 36,41916","-66 43 43,5440",11,45,36.4,176.4017465,3.07879128269338,-,66,43,43.5,-66.7287622222222,-1.16463660655819,296.4837,-4.6847,3.796,3.634,0.162,0.2,-0.04,PM*,A7V,A7,
HD 10250 , 42 Cas,"01 42 55,86416","+70 37 21,0894",01,42,55.9,25.7327673333333,0.449121515616307,+,70,37,21.1,70.6225248333333,1.23259558441313,127.2148,8.1802,5.155,5.177,-0.022,-0.07,0.05,EB*Algol,B9V,B9,
HD 102509, 93 Leo,"11 47 59,13595","+20 13 08,1500",11,47,59.1,176.996399791667,3.08916994054079,+,20,13,08.2,20.2189305555556,0.352886909426531,235.0034,73.9319,5.053,4.537,0.516,0.2,0.32,RSCVn,"A7V+,,,",A7,
HD 102776,j Cen,"11 49 41,06060","-63 47 18,5249",11,49,41.1,177.421085833333,3.09658211025513,-,63,47,18.5,-63.7884791388889,-1.11331898581333,296.1765,-1.7296,4.174,4.313,-0.139,-0.2,0.06,Be*,B3Vne,B3,
HD 103079,HD 103079,"11 51 51,22590","-65 12 21,2653",11,51,51.2,177.96344125,3.10604799799199,-,65,12,21.3,-65.2059070277778,-1.13805776938403,296.7344,-3.0536,4.803,4.929,-0.126,-0.18,0.05,Star,B4V,B4,
HD 103101,HD 103101,"11 52 10,27889","-56 59 15,8729",11,52,10.3,178.042828708333,3.10743357052469,-,56,59,15.9,-56.9877424722222,-0.994623739418891,294.8929,4.9561,5.621,5.563,0.058,0.05,0.01,PM*,A2V,A2,
HD 103287,gam UMa,"11 53 49,84732","+53 41 41,1350",11,53,49.8,178.457697166667,3.1146743910853,+,53,41,41.1,53.6947597222222,0.937150348220013,140.8399,61.3849,2.45,2.44,0.01,-0.01,0.02,Em*,A0Ve,A0,
HD 103578,o Leo,"11 55 40,53346","+15 38 48,5432",11,55,40.5,178.918889416667,3.12272371433248,+,15,38,48.5,15.6468175555556,0.273088483803296,251.671,72.6973,5.64,5.531,0.109,0.08,0.03,SB*,A3V,A3,
HD 103632,eta Crt,"11 56 00,95323","-17 09 02,9781",11,56,01.0,179.003971791667,3.12420868191164,-,17,09,03.0,-17.15082725,-0.299338404953265,284.4719,43.7254,5.146,5.168,-0.022,-0.01,-0.01,PM*,A0V,A0,
HD 103884,HD 103884,"11 57 40,00819","-62 26 55,4867",11,57,40.0,179.416700791667,3.13141216188011,-,62,26,55.5,-62.4487463055556,-1.08993623677459,296.759,-0.2232,5.404,5.552,-0.148,-0.2,0.05,V*,B3V,B3,
HD 104174,eps Cha,"11 59 37,57634","-78 13 18,6179",11,59,37.6,179.906568083333,3.13996195901751,-,78,13,18.6,-78.2218383055556,-1.36522862539457,300.2088,-15.6249,4.85,4.898,-0.048,-0.07,0.02,Star,B9Vn,B9,
HD 104181,b Vir,"11 59 56,91293","+03 39 18,7141",11,59,56.9,179.987137208333,3.14136815552421,+,03,39,18.7,3.65519836111111,0.06379524621489,273.0475,63.499,5.363,5.357,0.006,-0.01,0.02,Star,A0V,A0,
HD 104321,pi. Vir,"12 00 52,39042","+06 36 51,5571",12,00,52.4,180.218293416667,3.14540259244606,+,06,36,51.6,6.61432141666667,0.115441686506009,270.2963,66.228,4.775,4.659,0.116,0.15,-0.03,SB*,A5V,A5,
HD 104600,HD 104600,"12 02 37,69286","-69 11 32,2330",12,02,37.7,180.657053583333,3.15306040198098,-,69,11,32.2,-69.1922869444444,-1.20763322416524,298.5959,-6.7325,5.81,5.878,-0.068,-0.07,0.00,Star,B9V,B9,
HD 10516 ,phi Per,"01 43 39,63792","+50 41 19,4328",01,43,39.6,25.915158,0.452304833274549,+,50,41,19.4,50.6887313333333,0.884685255425481,131.3247,-11.3301,4,4.09,-0.09,-0.24,0.15,Be*,B2Vpe,B2,
HD 10538 ,HD 10538,"01 42 02,99377","-36 49 56,2995",01,42,03.0,25.5124740416667,0.445276672356669,-,36,49,56.3,-36.8323054166667,-0.642845000620976,258.273,-75.556,5.703,5.706,-0.003,0.02,-0.02,Star,A1V,A1,
HD 105416,E Cen,"12 08 14,71198","-48 41 32,9487",12,08,14.7,182.061299916667,3.17756912400672,-,48,41,32.9,-48.69248575,-0.849844197317921,295.623,13.5653,5.319,5.334,-0.015,-0.07,0.06,Star,B9V,B9,
HD 105805,HD 105805,"12 10 46,09635","+27 16 53,4251",12,10,46.1,182.692068125,3.18857810605903,+,27,16,53.4,27.2815069722222,0.476152121571067,209.6345,80.9585,6.116,5.999,0.117,0.12,0.00,V*,A4Vn,A4,
HD 105850,3 Crv,"12 11 03,83904","-23 36 08,7202",12,11,03.8,182.765996,3.18986839088679,-,23,36,08.7,-23.6024222777778,-0.411939980193282,291.1169,38.3413,5.52,5.47,0.05,0.02,0.03,PM*,A1V,A1,
HD 105937,rho Cen,"12 11 39,11770","-52 22 06,4432",12,11,39.1,182.912990416667,3.19243392743967,-,52,22,06.4,-52.3684564444445,-0.914001989142799,296.7837,10.0277,3.809,3.951,-0.142,-0.2,0.06,Star,B3V,B3,
HD 1064  ,HD 1064,"00 14 54,51542","-09 34 10,4503",00,14,54.5,3.72714758333333,0.065050997036916,-,09,34,10.5,-9.56956952777778,-0.167020496258241,95.0634,-70.4388,5.69,5.757,-0.067,-0.07,0.00,Star,B9V,B9,
HD 106591,del UMa,"12 15 25,56063","+57 01 57,4156",12,15,25.6,183.856502625,3.20890132200785,+,57,01,57.4,57.0326154444444,0.995406920529324,132.5666,59.4169,3.41,3.32,0.09,0.08,0.01,PM*,A3V,A3,
HD 106661,6 Com,"12 16 00,18569","+14 53 56,6496",12,16,00.2,184.000773708333,3.21141932742743,+,14,53,56.6,14.8990693333333,0.260037815349583,267.161,75.2506,5.15,5.09,0.06,0.08,-0.02,PM*,A3V,A3,
HD 106911,bet Cha,"12 18 20,82459","-79 18 44,0710",12,18,20.8,184.586769125,3.22164687684986,-,79,18,44.1,-79.3122419444444,-1.3842597590689,301.3368,-16.5431,4.12,4.235,-0.115,-0.16,0.05,V*,B5Vn,B5,
HD 106983,zet Cru,"12 18 26,24772","-64 00 11,0528",12,18,26.2,184.6093655,3.22204125799263,-,64,00,11.1,-64.0030702222222,-1.11706430676292,299.3248,-1.3627,3.9,4.05,-0.15,-0.24,0.09,Star,"B2,5V","B2,5",
HD 107070, 13 Vir,"12 18 40,31778","-00 47 13,8652",12,18,40.3,184.66799075,3.22306446162993,-,00,47,13.9,-0.787184777777778,-0.013738966193802,285.8463,60.993,6.063,5.908,0.155,0.15,0.00,Star,A5Vn,A5,
HD 107193,HD 107193,"12 18 49,98448","+75 09 38,0207",12,18,50.0,184.708268666667,3.22376744389162,+,75,09,38.0,75.1605613055556,1.31179926242899,125.7236,41.7905,5.516,5.465,0.051,0.02,0.03,Star,A1V,A1,
HD 107348,zet Crv,"12 20 33,64200","-22 12 57,2410",12,20,33.6,185.140175,3.23130563146849,-,22,12,57.2,-22.2159002777778,-0.387740606141945,293.5769,40.0943,5.11,5.22,-0.11,-0.11,0.00,Be*,B8V,B8,
HD 107566,zet02 Mus,"12 22 07,34002","-67 31 19,5871",12,22,07.3,185.530583416667,3.23811954376683,-,67,31,19.6,-67.5221075277778,-1.17848309424537,300.1265,-4.8102,5.334,5.161,0.173,0.15,0.02,Star,A5V,A5,
HD 107696,HD 107696,"12 22 49,43192","-57 40 34,0725",12,22,49.4,185.705966333333,3.2411805531144,-,57,40,34.1,-57.67613125,-1.00663839012489,299.0995,4.9825,5.278,5.37,-0.092,-0.07,-0.02,Star,B9V,B9,
HD 107860,HD 107860,"12 23 44,74438","-38 54 40,9767",12,23,44.7,185.936434916667,3.24520298871599,-,38,54,41.0,-38.9113824166667,-0.679131739673462,297.0553,23.6442,5.721,5.785,-0.064,-0.07,0.01,PM*,B9V,B9,
HD 107966, 13 Com,"12 24 18,52125","+26 05 55,0346",12,24,18.5,186.077171875,3.24765931201814,+,26,05,55.0,26.0986207222222,0.455506861831998,221.0371,83.8503,5.26,5.18,0.08,0.08,0.00,RotV*alf2CVn,A3V,A3,
HD 108107,HD 108107,"12 25 11,76485","-11 36 38,1204",12,25,11.8,186.299020208333,3.25153129587486,-,11,36,38.1,-11.610589,-0.202643006145836,292.7456,50.7414,5.989,5.949,0.04,0.02,0.02,PM*,A1V,A1,
HD 108249,alf02 Cru,"12 26 36,151 "," -3 05 57,14    ",12,26,36.2,186.650629166667,3.2576680298773,-,03,05,57.1,-3.09920555555556,-0.054091341140545,300.1271,-0.3628,2.3,2.09,0.21,-0.26,0.47,Star,B1V,B1,
HD 108257,G Cen,"12 26 31,75955","-51 27 02,2899",12,26,31.8,186.632331458333,3.2573486746213,-,51,27,02.3,-51.4506360833333,-0.897983001899566,298.9801,11.2299,4.665,4.805,-0.14,-0.2,0.06,Star,B3Vn,B3,
HD 108323,HD 108323,"12 26 51,69000","-32 49 48,4379",12,26,51.7,186.715375,3.25879805784591,-,32,49,48.4,-32.8301216388889,-0.572993716428848,296.9856,29.7577,5.571,5.565,0.006,-0.07,0.08,Star,B9V,B9,
HD 108382, 16 Com,"12 26 59,29709","+26 49 32,5201",12,26,59.3,186.747071208333,3.25935126104172,+,26,49,32.5,26.8257000277778,0.468196789637057,214.7205,84.5448,5.061,4.965,0.096,0.12,-0.02,*inCl,A4V,A4,
HD 108483,sig Cen,"12 28 02,38208","-50 13 50,2872",12,28,02.4,187.009925333333,3.26393893097541,-,50,13,50.3,-50.2306353333333,-0.876689971935265,299.1034,12.4671,3.719,3.897,-0.178,-0.24,0.06,**,B2V,B2,
HD 108541,u Cen,"12 28 22,46490","-39 02 28,2168",12,28,22.5,187.09360375,3.26539939485911,-,39,02,28.2,-39.0411713333333,-0.681396983601891,298.0468,23.6117,5.382,5.448,-0.066,-0.11,0.04,Star,B8V,B8,
HD 108765, 20 Com,"12 29 43,23974","+20 53 45,9902",12,29,43.2,187.430165583333,3.27127350698732,+,20,53,46.0,20.8961083888889,0.364705892239719,263.2779,82.038,5.767,5.68,0.087,0.08,0.01,Star,A3V,A3,
HD 109026,gam Mus,"12 32 28,01343","-72 07 58,7597",12,32,28.0,188.116722625,3.28325618786716,-,72,07,58.8,-72.1329888055556,-1.25895815396116,301.4589,-9.3155,3.694,3.83,-0.136,-0.16,0.02,PulsV*,B5V,B5,
HD 109309,q Vir,"12 33 46,74789","-09 27 07,4775",12,33,46.7,188.444782875,3.28898191937458,-,09,27,07.5,-9.45207708333333,-0.164969866256469,295.6549,53.17,5.45,5.48,-0.03,-0.01,-0.02,PM*,A0V,A0,
HD 10939 ,q02 Eri,"01 46 06,26346","-53 31 19,3279",01,46,06.3,26.52609775,0.46296774344336,-,53,31,19.3,-53.5220355277778,-0.934135742329104,285.676,-61.7365,5.068,5.039,0.029,0.02,0.01,PM*,A1V,A1,
HD 109536,HD 109536,"12 35 45,53178","-41 01 19,0045",12,35,45.5,188.93971575,3.29762012761969,-,41,01,19.0,-41.0219456944444,-0.715968017942367,299.7487,21.7529,5.337,5.127,0.21,0.2,0.01,PM*,A7V,A7,
HD 109704,f Vir,"12 36 47,35421","-05 49 54,8412",12,36,47.4,189.197309208333,3.3021159815992,-,05,49,54.8,-5.83190033333333,-0.101785862464821,296.259,56.8499,5.94,5.88,0.06,0.08,-0.02,Star,A3V,A3,
HD 109787,tau Cen,"12 37 42,16377","-48 32 28,6899",12,37,42.2,189.425682375,3.30610184528074,-,48,32,28.7,-48.54130275,-0.847205556194878,300.5869,14.2679,3.907,3.852,0.055,0.05,0.01,PM*,A2V,A2,
HD 10982 ,4 Ari,"01 48 10,93603","+16 57 19,9768",01,48,10.9,27.0455667916667,0.472034188582623,+,16,57,20.0,16.9555491111111,0.295930158472487,141.8904,-43.8174,5.817,5.854,-0.037,-0.07,0.03,PM*,"B9,5V","B9,5",
HD 11031 ,HD 11031,"01 49 15,54296","+47 53 48,9227",01,49,15.5,27.3147623333333,0.476732537116395,+,47,53,48.9,47.8969229722222,0.835959007439386,132.8583,-13.8573,6.11,5.82,0.29,0.08,0.21,**,A3V,A3,
HD 110411,rho Vir,"12 41 53,05658","+10 14 08,2548",12,41,53.1,190.471069083333,3.32434728529774,+,10,14,08.3,10.2356263333333,0.178645380520501,294.888,72.958,4.951,4.872,0.079,-0.01,0.09,PulsV*delSct,A0V,A0,
HD 110423,d01 Vir,"12 41 57,11727","+06 48 23,8228",12,41,57.1,190.487988625,3.32464258700776,+,06,48,23.8,6.80661744444444,0.118797885329238,296.1773,69.5539,5.574,5.572,0.002,0.05,-0.05,PM*,A2V,A2,
HD 110506,HD 110506,"12 43 09,17897","-56 10 34,4108",12,43,09.2,190.788245708333,3.32988306171435,-,56,10,34.4,-56.1762252222222,-0.980460091469661,301.7713,6.6769,5.912,5.985,-0.073,-0.13,0.06,Star,"B7,5V","B7,5",
HD 110879,bet Mus,"12 46 16,80410","-68 06 29,2164",12,46,16.8,191.570017083333,3.34352754620595,-,68,06,29.2,-68.1081156666667,-1.18871086571247,302.4492,-5.2412,2.91,3.07,-0.16,-0.24,0.08,**,"B2,5V","B2,5",
HD 110956,HD 110956,"12 46 22,71460","-56 29 19,7366",12,46,22.7,191.594644166667,3.34395736989529,-,56,29,19.7,-56.4888157222222,-0.985915824905116,302.2293,6.376,4.469,4.612,-0.143,-0.2,0.06,Star,B3V,B3,
HD 111270,HD 111270,"12 47 18,95085","+62 46 52,1513",12,47,19.0,191.828961875,3.34804698540142,+,62,46,52.2,62.7811531388889,1.09573783047238,123.7404,54.3406,6.09,5.89,0.2,0.3,-0.10,Star,A9V,A9,
HD 111397, 29 Com,"12 48 54,21284","+14 07 21,3146",12,48,54.2,192.225886833333,3.35497463280768,+,14,07,21.3,14.1225873888889,0.24648564883674,300.2034,76.9809,5.727,5.702,0.025,0.02,0.01,Star,A1V,A1,
HD 111469, 30 Com,"12 49 17,45211","+27 33 08,5716",12,49,17.5,192.322717125,3.35666464021293,+,27,33,08.6,27.552381,0.480879765213928,171.1549,89.3619,5.804,5.756,0.048,0.05,0.00,PM*,A2V,A2,
HD 111588,HD 111588,"12 50 57,87912","-52 47 14,7281",12,50,57.9,192.741163,3.36396789847307,-,52,47,14.7,-52.7874244722222,-0.921314360688107,302.8592,10.0843,5.83,5.711,0.119,0.15,-0.03,Star,A5V,A5,
HD 111604,VDT CVn,"12 50 10,74028","+37 31 00,9727",12,50,10.7,192.544751166667,3.36053986529153,+,37,31,01.0,37.5169368611111,0.654794073489215,124.316,79.6079,6.043,5.885,0.158,0.08,0.08,PulsV*delSct,A3V,A3,
HD 111774,HD 111774,"12 51 56,93048","-39 40 49,5532",12,51,56.9,192.987210333333,3.36826223455548,-,39,40,49.6,-39.6804314444444,-0.692554177317444,303.0389,23.1912,5.891,5.974,-0.083,-0.11,0.03,V*,B8V,B8,
HD 112014,HD 112014,"12 49 06,63608","+83 25 04,1126",12,49,06.6,192.277650333333,3.35587807631503,+,83,25,04.1,83.4178090555556,1.45591542281939,123.0121,33.7101,5.86,5.85,0.01,-0.01,0.02,SB*,"A0V+,,,",A0,
HD 112078,lam Cru,"12 54 39,18258","-59 08 48,1229",12,54,39.2,193.66326075,3.3800615402358,-,59,08,48.1,-59.1467008055556,-1.03230467074893,303.345,3.7225,4.462,4.602,-0.14,-0.18,0.04,Be*,B4Vne,B4,
HD 112091,mu.02 Cru,"12 54 36,88630","-57 10 07,2137",12,54,36.9,193.653692916667,3.37989455004186,-,57,10,07.2,-57.1686704722222,-0.997781528727939,303.3646,5.7004,5.019,5.113,-0.094,-0.16,0.07,Be*,B5Vne,B5,
HD 112131,HD 112131,"12 54 18,66003","-11 38 54,8473",12,54,18.7,193.577750125,3.37856909828411,-,11,38,54.8,-11.6485686944444,-0.203305876862792,304.0551,51.2169,6.064,5.999,0.065,0.05,0.02,PM*,A2V,A2,
HD 112409,H Cen,"12 57 04,35244","-51 11 55,5058",12,57,04.4,194.268135166667,3.39061859036772,-,51,11,55.5,-51.1987516111111,-0.89358678852464,303.8332,11.6631,5.102,5.163,-0.061,-0.11,0.05,PulsV*,"B8,5V","B8,5",
HD 11241 ,1 Per,"01 51 59,31962","+55 08 50,5767",01,51,59.3,27.9971650833333,0.488642711928559,+,55,08,50.6,55.1473824166667,0.962503397027261,131.5739,-6.7051,5.339,5.511,-0.172,-0.26,0.09,EB*Algol,"B1,5V","B1,5",
HD 112846,k Vir,"12 59 39,51657","-03 48 42,9121",12,59,39.5,194.914652375,3.40190244432394,-,03,48,42.9,-3.81192002777778,-0.066530555307436,306.9153,58.9962,5.964,5.805,0.159,0.08,0.08,**,A3V,A3,
HD 113314,ksi01 Cen,"13 03 33,30528","-49 31 38,1518",13,03,33.3,195.888772,3.41890403908848,-,49,31,38.2,-49.5272643888889,-0.864413833091849,304.9518,13.297,4.857,4.83,0.027,-0.01,0.04,Star,A0V,A0,
HD 113703,f Cen,"13 06 16,70411","-48 27 47,8460",13,06,16.7,196.569600458333,3.43078673732767,-,48,27,47.8,-48.4632905555556,-0.845843986545117,305.4702,14.3353,4.564,4.694,-0.13,-0.16,0.03,Star,B5V,B5,
HD 113791,ksi02 Cen,"13 06 54,63940","-49 54 22,4823",13,06,54.6,196.727664166667,3.43354546946601,-,49,54,22.5,-49.9062450833333,-0.871028294011398,305.4865,12.8887,4.084,4.264,-0.18,-0.26,0.08,SB*,"B1,5V","B1,5",
HD 113797, 14 CVn,"13 05 44,43582","+35 47 56,0374",13,05,44.4,196.43514925,3.42844012105897,+,35,47,56.0,35.7988992777778,0.624808660987043,104.4654,80.8107,5.133,5.191,-0.058,-0.07,0.01,V*,B9V,B9,
HD 113902,HD 113902,"13 07 38,28392","-53 27 35,1498",13,07,38.3,196.909516333333,3.43671938852621,-,53,27,35.1,-53.4597638333333,-0.933048896230251,305.3743,9.3351,5.64,5.701,-0.061,-0.11,0.05,Star,B8V,B8,
HD 11413 ,VBD Phe,"01 50 54,43472","-50 12 22,0966",01,50,54.4,27.7268113333333,0.483924148845945,-,50,12,22.1,-50.2061379444445,-0.876262411841014,280.6992,-64.2771,6.086,5.943,0.143,0.02,0.12,PulsV*delSct,A1V,A1,
HD 114570,HD 114570,"13 12 48,80347","-66 13 36,2897",13,12,48.8,198.203347791667,3.45930100744002,-,66,13,36.3,-66.2267471388889,-1.15587479045935,305.0874,-3.4445,5.95,5.905,0.045,-0.01,0.05,Star,"A0Vm,,,",A0,
HD 114772,HD 114772,"13 13 23,35287","-50 41 59,3747",13,13,23.4,198.347303625,3.46181351070913,-,50,41,59.4,-50.6998263055556,-0.884878899221178,306.4826,12.0205,5.896,5.908,-0.012,-0.07,0.06,**,B9V,B9,
HD 114911,eta Mus,"13 15 14,94123","-67 53 40,5276",13,15,14.9,198.812255125,3.46992844524622,-,67,53,40.5,-67.894591,-1.18498415724491,305.1775,-5.1267,4.697,4.774,-0.077,-0.11,0.03,SB*,B8V,B8,
HD 11502 ,gam01 Ari,"01 53 31,80"," +19 17 45,0      ",01,53,31.8,28.3825,0.495368074947291,+,19,17,45.0,19.2958333333333,0.336775823582739,142.5472,-41.1989,4.8,4.7,0.1,-0.07,0.17,PM*,B9V,B9,
HD 115271, 19 CVn,"13 15 31,95290","+40 51 18,7208",13,15,32.0,198.883137083333,3.47116556879939,+,40,51,18.7,40.8552002222222,0.713057760439296,104.5748,75.4027,5.96,5.778,0.182,0.2,-0.02,**,A7V,A7,
HD 115735, 21 CVn,"13 18 14,50965","+49 40 55,4234",13,18,14.5,199.560456875,3.4829870292529,+,49,40,55.4,49.6820620555556,0.867115562049587,111.8527,66.8656,5.08,5.15,-0.07,-0.01,-0.06,RotV*alf2CVn,A0V,A0,
HD 115823,VV964 Cen,"13 20 37,82506","-52 44 52,1702",13,20,37.8,200.157604416667,3.49340921997518,-,52,44,52.2,-52.7478250555556,-0.920623220485406,307.4085,9.87,5.328,5.447,-0.119,-0.14,0.02,EB*betLyr,B6V,B6,
HD 116087,J Cen,"13 22 37,93612","-60 59 18,2178",13,22,37.9,200.658067166667,3.50214394274627,-,60,59,18.2,-60.9883938333333,-1.06444827789467,306.7068,1.6545,4.38,4.505,-0.125,-0.2,0.08,**,B3V,B3,
HD 116160,HD 116160,"13 21 41,64387","+02 05 14,0741",13,21,41.6,200.423516125,3.4980502548052,+,02,05,14.1,2.08724280555556,0.036429259245508,320.35,63.9311,5.735,5.693,0.042,0.05,-0.01,PM*,A2V,A2,
HD 11636 ,bet Ari,"01 54 38,41099","+20 48 28,9133",01,54,38.4,28.6600457916667,0.500212162836929,+,20,48,28.9,20.8080314722222,0.36316866004888,142.2449,-39.6817,2.77,2.64,0.13,0.15,-0.02,SB*,A5V,A5,
HD 116656,zet01 UMa,"13 23 55,2 ", + 54 55 25         ,13,23,55.2,200.98,3.5077627306582,+,54,55,25.0,54.9236111111111,0.95859785097383,113.1112,61.581,2.08,2.06,0.02,0.05,-0.03,SB*,A2V,A2,
HD 116656,zet01 UMa,"13 23 55,54048","+54 55 31,2671",13,23,55.5,200.981418666667,3.50778749106253,+,54,55,31.3,54.9253519722222,0.958628234732038,113.1105,61.5791,2.29,2.27,0.02,0.05,-0.03,SB*,A2V,A2,
HD 117150,K Cen,"13 29 25,25383","-51 09 54,4823",13,29,25.3,202.355224291667,3.5317649225012,-,51,09,54.5,-51.1651339722222,-0.893000050039282,308.9869,11.2595,5.105,5.05,0.055,0.02,0.04,Star,A1V,A1,
HD 117376,HD 117376,"13 28 27,08646","+59 56 44,8349",13,28,27.1,202.11286025,3.52753487198567,+,59,56,44.8,59.9457874722222,1.04625136409105,114.5255,56.5743,5.39,5.4,-0.01,0.02,-0.03,PM*,A1Vn,A1,
HD 11753 ,phi Phe,"01 54 22,03347","-42 29 49,0183",01,54,22.0,28.591806125,0.499021155973131,-,42,29,49.0,-42.4969495277778,-0.741711691313572,267.1742,-69.9943,5.064,5.112,-0.048,0.08,-0.13,SB*,A3V,A3,
HD 118054,HD 118054,"13 34 40,45020","-13 12 51,5716",13,34,40.5,203.6685425,3.554686649363,-,13,12,51.6,-13.2143254444444,-0.230633487435618,318.8659,48.3152,5.94,5.922,0.018,-0.01,0.03,**,A0V,A0,
HD 118098,zet Vir,"13 34 41,59115","-00 35 44,9487",13,34,41.6,203.673296458333,3.55476962158842,-,00,35,44.9,-0.595819083333333,-0.010399004750381,325.2459,60.3884,3.48,3.4,0.08,0.08,0.00,PM*,A3V,A3,
HD 118214, 81 UMa,"13 34 07,30510","+55 20 54,3673",13,34,07.3,203.530437916667,3.55227626967175,+,55,20,54.4,55.3484353611111,0.966012432878645,110.4938,60.7371,5.579,5.594,-0.015,-0.01,-0.01,Star,A0V,A0,
HD 118232, 24 CVn,"13 34 27,25928","+49 00 57,5065",13,34,27.3,203.613580333333,3.55372737859063,+,49,00,57.5,49.0159740277778,0.855490132856749,104.9944,66.587,4.82,4.7,0.12,0.15,-0.03,PM*,A5V,A5,
HD 118354,HD 118354,"13 37 23,47424","-46 25 40,3741",13,37,23.5,204.347809333333,3.56654209210426,-,46,25,40.4,-46.4278816944444,-0.810319400294459,311.1307,15.711,5.794,5.891,-0.097,-0.11,0.01,Star,B8V,B8,
HD 118991,Q Cen,"13 41 44,77217","-54 33 33,9275",13,41,44.8,205.436550708333,3.5855442138007,-,54,33,33.9,-54.5594243055556,-0.952241592124566,310.2503,7.5959,4.96,5.01,-0.05,-0.11,0.06,**,B8Vn,B8,
HD 119024, 82 UMa,"13 39 30,44761","+52 55 16,3533",13,39,30.4,204.876865041667,3.57577585614116,+,52,55,16.4,52.92120925,0.923649345549379,107.0478,62.6994,5.573,5.467,0.106,0.08,0.03,PM*,A3Vn,A3,
HD 119055,1 Boo,"13 40 40,46962","+19 57 20,5859",13,40,40.5,205.168623416667,3.58086800040518,+,19,57,20.6,19.9557183055556,0.348292989032449,3.0797,76.6416,5.774,5.753,0.021,0.02,0.00,**,A1V,A1,
HD 11946 ,HD 11946,"01 59 38,03766","+64 37 17,7623",01,59,38.0,29.90849025,0.522001629163122,+,64,37,17.8,64.6216006388889,1.12785969905748,130.1589,2.711,5.284,5.283,0.001,-0.01,0.01,Star,A0Vn,A0,
HD 119476,HD 119476,"13 41 29,89279","+64 49 20,6778",13,41,29.9,205.374553291667,3.58446215475215,+,64,49,20.7,64.8224105,1.13136449230434,114.4212,51.4707,5.93,5.85,0.08,0.05,0.03,PM*,A2V,A2,
HD 119752,HD 119752,"13 45 36,89030","-26 06 57,6301",13,45,36.9,206.403709583333,3.60242432055933,-,26,06,57.6,-26.1160083611111,-0.455810333379757,317.841,35.1824,5.826,5.805,0.021,-0.01,0.03,PM*,A0V,A0,
HD 119921,z Cen,"13 46 56,35225","-36 15 06,9573",13,46,56.4,206.734801041667,3.60820295663249,-,36,15,07.0,-36.2519325833333,-0.63271558379018,315.2817,25.2853,5.147,5.155,-0.008,-0.01,0.00,Star,A0V,A0,
HD 120047,HD 120047,"13 46 13,54556","+41 05 19,4774",13,46,13.5,206.556439833333,3.60508996628923,+,41,05,19.5,41.0887437222222,0.717133863460928,87.5214,72.0613,6.084,5.891,0.193,0.15,0.04,PM*,A5V,A5,
HD 120315,eta UMa,"13 47 32,43776","+49 18 47,7602",13,47,32.4,206.885157333333,3.61082716897315,+,49,18,47.8,49.3132667222222,0.860678869216929,100.6956,65.3225,1.755,1.852,-0.097,-0.2,0.10,PM*,B3V,B3,
HD 120324,mu. Cen,"13 49 36,98863","-42 28 25,4296",13,49,37.0,207.404119291667,3.61988476383868,-,42,28,25.4,-42.4737304444445,-0.741306441860111,314.2377,19.1172,3.274,3.456,-0.182,-0.24,0.06,Be*,B2Vnpe,B2,
HD 120640,HD 120640,"13 51 47,21507","-46 53 55,2079",13,51,47.2,207.946729458333,3.6293550978018,-,46,53,55.2,-46.8986688611111,-0.818536186428928,313.5287,14.7276,5.599,5.75,-0.151,-0.24,0.09,Star,B2Vp,B2,
