Name,CDSName,RA,Dec,ra1,ra2,ra3,RA_dec,RA_radians,sde,de1,de2,de3,de_dec,Dec_radians,LongGal,LatGal,B,V,B-V,B0-V0,EB-V,OType,Sp,Sp_s,Miles
HD 91636 , 49 Leo,"10 35 02,15893","+08 39 01,5434",10,35,02.2,158.758995541667,2.77086718936109,+,08,39,01.5,8.65042872222222,0.150978462911864,236.2947,52.8596,5.72,5.67,0.05,0.05,0.00,EB*Algol,A2V,A2,
HD 92728 , 39 UMa,"10 43 43,33723","+57 11 57,1344",10,43,43.3,160.930571791667,2.8087683448817,+,57,11,57.1,57.199204,0.998314439319911,150.9486,52.4162,5.751,5.788,-0.037,-0.01,-0.03,PM*,A0Vs,A0,
HD 92769 , 40 LMi,"10 43 01,88384","+26 19 32,0891",10,43,01.9,160.757849333333,2.80575376929163,+,26,19,32.1,26.3255803055556,0.45946805383012,207.1205,61.395,5.681,5.517,0.164,0.12,0.04,PM*,A4Vn,A4,
HD 92825 , 41 LMi,"10 43 24,95671","+23 11 18,2499",10,43,25.0,160.853986291667,2.80743167574741,+,23,11,18.2,23.18840275,0.404713976266008,213.5196,60.8426,5.116,5.075,0.041,0.08,-0.04,PM*,A3Vn,A3,
HD 92845 ,HD 92845,"10 42 43,18700","-32 42 56,4214",10,42,43.2,160.679945833333,2.8043940967178,-,32,42,56.4,-32.7156726111111,-0.570996204068419,273.8522,22.7884,5.633,5.627,0.006,-0.01,0.02,Star,A0V,A0,
HD 92938 ,HD 92938,"10 42 14,12040","-64 27 59,1323",10,42,14.1,160.558835,2.80228031391631,-,64,27,59.1,-64.4664256388889,-1.1251513843907,289.5635,-5.0021,4.68,4.82,-0.14,-0.18,0.04,Be*,B4V,B4,
HD 93030 ,tet Car,"10 42 57,40197","-64 23 40,0208",10,42,57.4,160.739174875,2.80542783850769,-,64,23,40.0,-64.3944502222222,-1.12389517638937,289.5978,-4.9017,2.54,2.78,-0.24,-0.3,0.06,SB*,B0Vp,B0,
HD 93152 , 42 LMi,"10 45 51,89469","+30 40 56,3266",10,45,51.9,161.466227875,2.8181173071942,+,30,40,56.3,30.6823129444444,0.535507383007831,198.0085,62.3788,5.302,5.349,-0.047,0.02,-0.07,Star,A1Vn,A1,
HD 93163 ,HD 93163,"10 43 51,19315","-64 14 56,5480",10,43,51.2,160.963304791667,2.80933964350575,-,64,14,56.5,-64.2490411111111,-1.12135730863808,289.6146,-4.7277,5.736,5.754,-0.018,-0.24,0.22,*inCl,"B2,5V","B2,5",
HD 93194 ,HD 93194,"10 44 06,91549","-63 57 39,8535",10,44,06.9,161.028814541667,2.81048300433541,-,63,57,39.9,-63.9610704166667,-1.11633127187078,289.5037,-4.4602,4.659,4.786,-0.127,-0.16,0.03,*inCl,B5Vn,B5,
HD 93397 ,b01 Hya,"10 46 52,05473","-17 17 48,7464",10,46,52.1,161.716894708333,2.82249226876141,-,17,17,48.7,-17.296874,-0.301887401602602,265.1604,36.278,5.53,5.44,0.09,0.08,0.01,Star,A3V,A3,
HD 93540 ,HD 93540,"10 46 16,55763","-64 30 52,4153",10,46,16.6,161.568990125,2.81991084680345,-,64,30,52.4,-64.5145598055556,-1.12599148408174,289.9715,-4.8398,5.23,5.327,-0.097,-0.14,0.04,*inCl,B6V,B6,
HD 93657 ,HD 93657,"10 48 14,11123","-31 41 16,2537",10,48,14.1,162.058796791667,2.82845958583501,-,31,41,16.3,-31.68784825,-0.553057284834823,274.3807,24.2658,5.898,5.872,0.026,0.02,0.01,Star,A1V,A1,
HD 93702 ,l Leo,"10 49 15,43057","+10 32 42,7270",10,49,15.4,162.314294041667,2.8329188540773,+,10,32,42.7,10.5452019444444,0.184048494218263,237.0031,56.8234,5.348,5.314,0.034,0.05,-0.02,Star,A2V,A2,
HD 93905 ,HD 93905,"10 49 57,01736","-34 03 29,4547",10,49,57.0,162.487572333333,2.83594313078911,-,34,03,29.5,-34.0581818611111,-0.594427410719399,275.995,22.3815,5.643,5.605,0.038,0.02,0.02,Star,A1V,A1,
HD 94601 , 54 Leo A,"10 55 36,823"," -04 44 59,28",10,55,36.8,163.903429166667,2.86065449426764,-,04,44,59.3,-4.7498,-0.082899648811227,211.5943,63.9097,4.51,4.5,0.01,0.02,-0.01,PM*,A1V,A1,
HD 94650J,CCDM J10537-7043AB,"10 53 42,07845","-70 43 13,2151",10,53,42.1,163.425326875,2.85231003511673,-,70,43,13.2,-70.7203375277778,-1.23430273798143,293.4471,-10.0488,5.97,5.99,-0.02,-0.14,0.12,**,B6V,B6,
HD 94985 ,VIW Vel,"10 57 07,84745","-50 45 54,0589",10,57,07.8,164.282697708333,2.86727397906895,-,50,45,54.1,-50.7650163611111,-0.886016680330179,285.1371,8.1148,6.069,5.909,0.16,0.12,0.04,PulsV*delSct,A4V,A4,
HD 95347 ,HD 95347,"10 59 59,37804","-43 48 25,5989",10,59,59.4,164.9974085,2.87974803558308,-,43,48,25.6,-43.8071108055556,-0.764578319342931,282.5342,14.6064,5.736,5.8,-0.064,-0.11,0.05,PM*,"B8,5V","B8,5",
HD 95418 ,bet UMa,"11 01 50,47654","+56 22 56,7339",11,01,50.5,165.460318916667,2.8878273464957,+,56,22,56.7,56.3824260833333,0.984058975416497,149.1661,54.8041,2.376,2.346,0.03,0.02,0.01,PM*,A1V,A1,
HD 96146 ,HD 96146,"11 04 54,19338","-35 48 16,8376",11,04,54.2,166.22580575,2.90118761211802,-,35,48,16.8,-35.8046771111111,-0.62490950320234,279.8044,22.2374,5.443,5.424,0.019,0.05,-0.03,**,A2V,A2,
HD 96706 ,HD 96706,"11 06 49,88927","-70 52 40,5491",11,06,49.9,166.707871958333,2.90960125466604,-,70,52,40.5,-70.8779303055556,-1.23705325083102,294.5083,-9.7369,5.52,5.57,-0.05,-0.24,0.19,Star,B2V,B2,
HD 9672  , 49 Cet,"01 34 37,77884","-15 40 34,8979",01,34,37.8,23.6574118333333,0.412899728991934,-,15,40,34.9,-15.6763605277778,-0.273604105939399,166.3277,-74.7789,5.681,5.619,0.062,0.02,0.04,PM*,A1V,A1,
HD 96819 ,HD 96819,"11 08 43,99954","-28 04 50,4127",11,08,44.0,167.183331416667,2.91789958767371,-,28,04,50.4,-28.0806701944444,-0.490100151059691,276.8662,29.5413,5.497,5.431,0.066,0.02,0.05,PM*,A1V,A1,
HD 97023 ,HD 97023,"11 09 53,39311","-32 22 03,1048",11,09,53.4,167.472471291667,2.92294603049127,-,32,22,03.1,-32.3675291111111,-0.564919953724002,279.2184,25.786,5.815,5.779,0.036,0.05,-0.01,V*,A2V,A2,
HD 97277 ,bet Crt,"11 11 39,48783","-22 49 33,0593",11,11,39.5,167.914532625,2.93066145625369,-,22,49,33.1,-22.8258498055556,-0.398386233672653,274.7768,34.5329,4.493,4.461,0.032,0.02,0.01,SB*,A1V,A1,
HD 97583 ,HD 97583,"11 12 45,20667","-64 10 11,1760",11,12,45.2,168.188361125,2.93544066516448,-,64,10,11.2,-64.1697711111111,-1.11997378614003,292.4355,-3.3278,5.143,5.216,-0.073,-0.11,0.04,Star,B8V,B8,
HD 97585 ,p05 Leo,"11 13 45,55346","-00 04 10,2202",11,13,45.6,168.439806083333,2.93982920757493,-,00,04,10.2,-0.069505611111111,-0.0012131017625,258.1291,54.0781,5.379,5.399,-0.02,-0.01,-0.01,Star,A0V,A0,
HD 97603 ,del Leo,"11 14 06,50142","+20 31 25,3853",11,14,06.5,168.52708925,2.94135258621484,+,20,31,25.4,20.5237181388889,0.358206456274894,224.2285,66.8275,2.68,2.53,0.15,0.12,0.03,PM*,A4V,A4,
HD 97633 ,tet Leo,"11 14 14,40446","+15 25 46,4541",11,14,14.4,168.560018583333,2.94192731150199,+,15,25,46.5,15.4295705833333,0.269296808848028,235.3722,64.585,3.337,3.324,0.013,0.05,-0.04,PM*,A2V,A2,
HD 97670 ,HD 97670,"11 13 30,78320","-59 37 09,5454",11,13,30.8,168.378263333333,2.9387550839567,-,59,37,09.5,-59.6193181666667,-1.0405533998024,290.8327,0.9322,5.627,5.732,-0.105,-0.26,0.16,Star,"B1,5V","B1,5",
HD 98353 , 55 UMa,"11 19 07,89965","+38 11 08,0285",11,19,07.9,169.782915208333,2.96327088401977,+,38,11,08.0,38.1855634722222,0.666463809319556,177.344,67.7378,4.9,4.8,0.1,0.05,0.05,SB*,A2V,A2,
HD 98664 ,sig Leo,"11 21 08,19349","+06 01 45,5710",11,21,08.2,170.284139541667,2.97201889892756,+,06,01,45.6,6.02932527777778,0.105231577770944,253.3596,59.899,3.996,4.044,-0.048,-0.07,0.02,PM*,"B9,5Vs","B9,5",
HD 98718 ,pi. Cen,"11 21 00,40615","-54 29 27,6654",11,21,00.4,170.251692291667,2.97145258758184,-,54,29,27.7,-54.4910181666667,-0.951047679772378,289.9556,6.0864,3.74,3.9,-0.16,-0.16,0.00,**,B5Vn,B5,
HD 99104 ,HD 99104,"11 23 21,40035","-64 57 16,9709",11,23,21.4,170.839168125,2.9817059751494,-,64,57,17.0,-64.9547141388889,-1.13367362641532,293.7803,-3.6597,5.03,5.11,-0.08,-0.16,0.08,Star,B5V,B5,
HD 99211 ,gam Crt,"11 24 52,92362","-17 41 02,4300",11,24,52.9,171.220515083333,2.98836173516477,-,17,41,02.4,-17.6840083333333,-0.308644170366781,275.4064,40.5162,4.29,4.08,0.21,0.2,0.01,**,A7V(n),A7,
HD 99556 ,HD 99556,"11 26 35,41773","-61 06 54,6029",11,26,35.4,171.647573875,2.99581531717895,-,61,06,54.6,-61.1151674722222,-1.06666089529802,292.8663,0.0875,5.44,5.54,-0.1,-0.16,0.06,Star,B5V,B5,
